"시도별","경제활동별",2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별","경제활동별",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"시도별","경제활동별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"부산광역시","서비스업",37923066,1652740,4.6,39536581,1613515,4.3,40240854,704273,1.8,41190859,950005,2.4,42800782,1609923,3.9,45210804,2410022,5.6,46507635,1296831,2.9,46444032,-63603,-0.1,47859365,1415333,3.0,49081567,1222202,2.6,50725830,1644263,3.4,52044828,1318998,2.6,53772092,1727264,3.3,55236643,1464551,2.7,56295139,1058496,1.9,57790991,1495852,2.7,59421498,1630507,2.8,61140788,1719290,2.9,58828516,-2312272,-3.8,60422431,1593915,2.7
"대구광역시","지역내총생산(시장가격)",35743105,1608302,4.7,36396595,653490,1.8,38364894,1968299,5.4,39039831,674937,1.8,40255437,1215606,3.1,42074727,1819290,4.5,42614503,539776,1.3,41429265,-1185238,-2.8,44114977,2685712,6.5,45657599,1542622,3.5,47367831,1710232,3.7,49036361,1668530,3.5,50329551,1293190,2.6,51822013,1492462,3.0,51823902,1889,0.0,52721214,897312,1.7,53964991,1243777,2.4,54762237,797246,1.5,53668577,-1093660,-2.0,56017462,2348885,4.4
"대구광역시","농업, 임업 및 어업",167435,-16381,-8.9,134143,-33292,-19.9,146709,12566,9.4,160620,13911,9.5,169818,9198,5.7,176494,6676,3.9,169643,-6851,-3.9,181737,12094,7.1,165876,-15861,-8.7,159126,-6750,-4.1,153704,-5422,-3.4,150199,-3505,-2.3,146258,-3941,-2.6,145520,-738,-0.5,150780,5260,3.6,154490,3710,2.5,131637,-22853,-14.8,127377,-4260,-3.2,108574,-18803,-14.8,107249,-1325,-1.2
"대구광역시","광제조업",6350762,456697,7.7,6258773,-91989,-1.4,6746921,488148,7.8,7179779,432858,6.4,7381668,201889,2.8,7801606,419938,5.7,7960048,158442,2.0,7283945,-676103,-8.5,9051861,1767916,24.3,9558826,506965,5.6,10143057,584231,6.1,10540472,397415,3.9,10654144,113672,1.1,10899654,245510,2.3,10621425,-278229,-2.6,10987018,365593,3.4,11423428,436410,4.0,10826910,-596518,-5.2,9916032,-910878,-8.4,10866777,950745,9.6
"대구광역시","전기, 가스, 증기 및 공기 조절 공급업",329005,-37028,-10.1,291402,-37603,-11.4,299904,8502,2.9,302585,2681,0.9,279038,-23547,-7.8,301994,22956,8.2,237715,-64279,-21.3,208138,-29577,-12.4,174450,-33688,-16.2,145322,-29128,-16.7,150912,5590,3.8,185555,34643,23.0,246613,61058,32.9,345374,98761,40.0,372843,27469,8.0,394464,21621,5.8,377427,-17037,-4.3,384650,7223,1.9,542293,157643,41.0,512736,-29557,-5.5
"대구광역시","건설업",2577317,258372,11.1,2595896,18579,0.7,2311319,-284577,-11.0,2530507,219188,9.5,2758993,228486,9.0,3062612,303619,11.0,2889618,-172994,-5.6,2146831,-742787,-25.7,2101394,-45437,-2.1,1972739,-128655,-6.1,1989107,16368,0.8,2424267,435160,21.9,2528618,104351,4.3,2903947,375329,14.8,3002378,98431,3.4,2552943,-449435,-15.0,2358042,-194901,-7.6,2507401,149359,6.3,2972764,465363,18.6,3295073,322309,10.8
"대구광역시","서비스업",23365899,806259,3.6,24136206,770307,3.3,24572223,436017,1.8,25725852,1153629,4.7,26507787,781935,3.0,27696657,1188870,4.5,28234354,537697,1.9,28741247,506893,1.8,29830446,1089199,3.8,30792011,961565,3.2,31815582,1023571,3.3,32495206,679624,2.1,33191073,695867,2.1,33867650,676577,2.0,33933558,65908,0.2,34829479,895921,2.6,35889264,1059785,3.0,36989604,1100340,3.1,36156838,-832766,-2.3,37133028,976190,2.7
"인천광역시","지역내총생산(시장가격)",50972798,4717690,10.2,52157498,1184700,2.3,54987798,2830300,5.4,56922112,1934314,3.5,59522631,2600519,4.6,64675503,5152872,8.7,64033773,-641730,-1.0,63153061,-880712,-1.4,69301148,6148087,9.7,70536942,1235794,1.8,73129842,2592900,3.7,75073082,1943240,2.7,78694187,3621105,4.8,80137506,1443319,1.8,82257112,2119606,2.6,85791563,3534451,4.3,86426825,635262,0.7,87963593,1536768,1.8,84907539,-3056054,-3.5,90325899,5418360,6.4
"인천광역시","농업, 임업 및 어업",444637,12584,2.9,389669,-54968,-12.4,316091,-73578,-18.9,324461,8370,2.6,312150,-12311,-3.8,313087,937,0.3,324915,11828,3.8,305571,-19344,-6.0,257247,-48324,-15.8,249550,-7697,-3.0,245266,-4284,-1.7,246278,1012,0.4,270738,24460,9.9,249679,-21059,-7.8,249483,-196,-0.1,254031,4548,1.8,257548,3517,1.4,283805,26257,10.2,270021,-13784,-4.9,279966,9945,3.7
"인천광역시","광제조업",15635627,1039161,7.1,15920196,284569,1.8,16835037,914841,5.7,16533331,-301706,-1.8,16895612,362281,2.2,17796527,900915,5.3,16767229,-1029298,-5.8,14240084,-2527145,-15.1,17591962,3351878,23.5,17881802,289840,1.6,18195095,313293,1.8,18299892,104797,0.6,18956271,656379,3.6,20151287,1195016,6.3,20612212,460925,2.3,21641905,1029693,5.0,21289440,-352465,-1.6,20608519,-680921,-3.2,21047640,439121,2.1,22912156,1864516,8.9
"인천광역시","전기, 가스, 증기 및 공기 조절 공급업",999188,-54783,-5.2,991946,-7242,-0.7,1269716,277770,28.0,1653807,384091,30.3,2228743,574936,34.8,2279711,50968,2.3,2773796,494085,21.7,2866100,92304,3.3,3440769,574669,20.1,3779564,338795,9.8,4004239,224675,5.9,4100201,95962,2.4,5032687,932486,22.7,4511849,-520838,-10.3,4191747,-320102,-7.1,4355448,163701,3.9,3855800,-499648,-11.5,3984357,128557,3.3,3797453,-186904,-4.7,4130562,333109,8.8
"인천광역시","건설업",2919732,288758,11.0,3139106,219374,7.5,3418601,279495,8.9,3861435,442834,13.0,4022900,161465,4.2,4586365,563465,14.0,4410313,-176052,-3.8,5358001,947688,21.5,5225720,-132281,-2.5,4647332,-578388,-11.1,4086738,-560594,-12.1,4179563,92825,2.3,3873923,-305640,-7.3,3817269,-56654,-1.5,4585024,767755,20.1,4798296,213272,4.7,4431636,-366660,-7.6,4403137,-28499,-0.6,5273314,870177,19.8,6041804,768490,14.6
"인천광역시","서비스업",25945058,3406936,15.1,27198620,1253562,4.8,28643975,1445355,5.3,29540823,896848,3.1,30987780,1446957,4.9,33629991,2642211,8.5,34127494,497503,1.5,35024665,897171,2.6,36690853,1666188,4.8,37739511,1048658,2.9,39970804,2231293,5.9,41796840,1826036,4.6,43711593,1914753,4.6,44119019,407426,0.9,44935088,816069,1.8,46516903,1581815,3.5,48661765,2144862,4.6,50797753,2135988,4.4,46795044,-4002709,-7.9,48497364,1702320,3.6
