"시도별","경제활동별",2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"시도별","경제활동별",실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
"시도별","경제활동별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전라남도","서비스업",27900363,559999,2.0,28939552,1039189,3.7,30294553,1355001,4.7,30338782,44229,0.1,31325700,986918,3.3
"경상북도","지역내총생산(시장가격)",104429785,-1315711,-1.2,103149107,-1280678,-1.2,104417627,1268520,1.2,101370158,-3047469,-2.9,105224262,3854104,3.8
"경상북도","농업, 임업 및 어업",5092731,118118,2.4,5190049,97318,1.9,5535643,345594,6.7,5207524,-328119,-5.9,5617665,410141,7.9
"경상북도","광제조업",46181302,-2342754,-4.8,44967327,-1213975,-2.6,44872463,-94864,-0.2,42586061,-2286402,-5.1,44901024,2314963,5.4
"경상북도","전기, 가스, 증기 및 공기 조절 공급업",3250034,310324,10.6,3326614,76580,2.4,3655638,329024,9.9,3737286,81648,2.2,3616930,-120356,-3.2
"경상북도","건설업",6083027,-78311,-1.3,5180091,-902936,-14.8,4883559,-296532,-5.7,4617768,-265791,-5.4,4397629,-220139,-4.8
"경상북도","서비스업",37924477,525812,1.4,38834203,909726,2.4,39801529,967326,2.5,39282391,-519138,-1.3,40777102,1494711,3.8
"경상남도","지역내총생산(시장가격)",106561346,-782009,-0.7,107224316,662970,0.6,109370902,2146586,2.0,103425415,-5945487,-5.4,105384664,1959249,1.9
"경상남도","농업, 임업 및 어업",3555810,131316,3.8,3848917,293107,8.2,4035270,186353,4.8,3697430,-337840,-8.4,3651030,-46400,-1.3
"경상남도","광제조업",39169578,-1662497,-4.1,39490070,320492,0.8,40153800,663730,1.7,36736388,-3417412,-8.5,37226020,489632,1.3
"경상남도","전기, 가스, 증기 및 공기 조절 공급업",3247629,196240,6.4,3224179,-23450,-0.7,3404645,180466,5.6,2901739,-502906,-14.8,3322616,420877,14.5
"경상남도","건설업",6310432,331846,5.6,5863635,-446797,-7.1,5075589,-788046,-13.4,4574795,-500794,-9.9,4211122,-363673,-7.9
"경상남도","서비스업",46417015,423139,0.9,47282082,865067,1.9,48946938,1664856,3.5,47818634,-1128304,-2.3,49463302,1644668,3.4
"제주특별자치도","지역내총생산(시장가격)",19144657,836815,4.6,18968300,-176357,-0.9,19186190,217890,1.1,17957495,-1228695,-6.4,18173026,215531,1.2
"제주특별자치도","농업, 임업 및 어업",1873293,58392,3.2,1638278,-235015,-12.5,1615727,-22551,-1.4,1667043,51316,3.2,1675235,8192,0.5
"제주특별자치도","광제조업",807655,57291,7.6,769268,-38387,-4.8,725781,-43487,-5.7,694016,-31765,-4.4,727598,33582,4.8
"제주특별자치도","전기, 가스, 증기 및 공기 조절 공급업",365495,29645,8.8,349266,-16229,-4.4,321341,-27925,-8.0,353260,31919,9.9,376385,23125,6.5
"제주특별자치도","건설업",2145254,228619,11.9,1752148,-393106,-18.3,1560731,-191417,-10.9,1257515,-303216,-19.4,1028798,-228717,-18.2
"제주특별자치도","서비스업",12322284,405542,3.4,12975082,652798,5.3,13485756,510674,3.9,12627736,-858020,-6.4,13066189,438453,3.5
