"행정구역별(읍면동)","연령별",2017,2018,2019,2020,2021
"행정구역별(읍면동)","연령별",총인구(명),총인구(명),총인구(명),총인구(명),총인구(명)
"세종특별자치시","20~24세",18151,19692,20804,21654,19793
"세종특별자치시","25~29세",16675,18783,20867,21226,21559
"세종특별자치시","30~34세",21563,23853,25627,26074,26697
"세종특별자치시","35~39세",29326,33736,35451,34999,34311
"세종특별자치시","40~44세",26892,30228,32778,35241,37893
"세종특별자치시","45~49세",22720,26319,29517,31435,32533
"세종특별자치시","50~54세",16342,19174,22016,23999,27097
"세종특별자치시","55~59세",15936,18027,19389,20097,20287
"세종특별자치시","60~64세",12034,14202,16003,17376,19271
"세종특별자치시","65~69세",8195,9251,10237,11668,13331
"세종특별자치시","70~74세",5775,6377,7160,7929,8462
"세종특별자치시","75~79세",5421,5710,5793,5872,5869
"세종특별자치시","80~84세",3576,3835,4045,4178,4387
"세종특별자치시","85~89세",1754,1918,2154,2348,2587
"세종특별자치시","90~94세",548,619,745,830,897
"세종특별자치시","95~99세",111,120,125,152,174
"세종특별자치시","100세이상",18,21,21,16,20
"세종특별자치시","15세미만",55731,63161,67563,69840,71607
"세종특별자치시","15~64세",195460,221362,240293,251100,258893
"세종특별자치시","65세이상",25398,27851,30280,32993,35727
"세종특별자치시","85세이상",2431,2678,3045,3346,3678
"세종특별자치시","평균연령",36.1,36.2,36.5,36.9,37.4
"세종특별자치시","중위연령",36.7,37.0,37.5,38.0,38.7
"경기도","합계",12851601,13103188,13300900,13511676,13652529
"경기도","0~4세",578415,563208,538700,501986,466012
"경기도","5~9세",642575,643029,648107,652341,644943
"경기도","10~14세",620144,625920,624707,640423,656852
"경기도","15~19세",741283,711806,684717,654522,624696
"경기도","20~24세",849008,847682,834387,847646,820998
"경기도","25~29세",876704,919599,953622,980796,988655
"경기도","30~34세",906282,899207,906611,919054,944395
"경기도","35~39세",1101844,1131739,1118336,1083739,1048051
"경기도","40~44세",1097795,1079663,1079145,1107785,1144257
"경기도","45~49세",1204113,1214041,1214187,1195611,1158611
"경기도","50~54세",1055583,1091113,1138512,1166575,1214132
"경기도","55~59세",1015993,1056744,1073487,1079402,1071438
"경기도","60~64세",716151,789566,856522,923711,994733
"경기도","65~69세",470087,493540,531844,599220,670633
"경기도","70~74세",361783,382794,405474,427729,437113
"경기도","75~79세",304187,316153,323247,331533,335499
"경기도","80~84세",185880,201839,218192,230254,244882
"경기도","85~89세",86400,94115,104068,116857,129493
"경기도","90~94세",29427,32367,37290,41752,45383
"경기도","95~99세",7048,8070,8600,9426,10191
"경기도","100세이상",899,993,1145,1314,1562
"경기도","15세미만",1841134,1832157,1811514,1794750,1767807
"경기도","15~64세",9564756,9741160,9859526,9958841,10009966
"경기도","65세이상",1445711,1529871,1629860,1758085,1874756
"경기도","85세이상",123774,135545,151103,169349,186629
"경기도","평균연령",39.8,40.3,40.8,41.3,41.9
"경기도","중위연령",40.5,41.0,41.5,42.0,42.6
"강원도","합계",1521386,1520391,1520127,1521763,1521890
"강원도","0~4세",52755,50189,47941,45588,42754
"강원도","5~9세",62989,61506,60559,59507,57870
"강원도","10~14세",65912,64623,63115,63319,63908
"강원도","15~19세",89850,85220,79998,72734,68221
"강원도","20~24세",107260,105492,102735,99186,94687
"강원도","25~29세",84879,86744,87962,89166,89340
"강원도","30~34세",79689,76859,76364,76486,77596
"강원도","35~39세",98679,98178,95332,90838,86696
"강원도","40~44세",108105,103412,99749,100087,101110
"강원도","45~49세",125915,123948,122187,118985,113419
"강원도","50~54세",121263,122446,125605,128191,130156
"강원도","55~59세",140558,139915,137387,132525,127653
"강원도","60~64세",112039,121823,128720,136174,144351
"강원도","65~69세",75253,77594,84543,96073,107667
